Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Issuing Agency,Violation Location,Violation Precinct,Issuer Precinct,Violation Time,Date First Observed,Law Section,Sub Division,Vehicle Year,Feet From Curb
66623ME,NY,COM,06/14/2017,47,T,14.0,14,14,1120A,0,408,l2,2007,0
37033JV,NY,COM,11/21/2016,69,T,13.0,13,13,0555P,0,408,h1,2007,0
X20DCM,NJ,PAS,08/03/2016,40,P,71.0,71,71,0215A,0,408,C3,0,1
2513JMG,NY,COM,01/11/2017,78,P,106.0,106,106,0015A,0,408,E2,2015,0
13657MD,NY,COM,09/27/2016,19,T,18.0,18,18,0707A,0,408,c3,2013,0
FGR5997,NY,PAS,09/30/2016,21,P,44.0,44,44,1150A,0,408,F1,0,0
T672371C,NY,PAS,02/04/2017,40,P,73.0,73,73,0525A,0,408,F1,2015,0
GYF2052,NY,PAS,07/07/2016,71,T,120.0,120,120,0645P,0,408,j6,2012,0
51771JW,NY,COM,01/26/2017,64,T,17.0,17,17,0256P,0,408,C8,2007,0
GLP367,NY,PAS,04/30/2017,20,P,17.0,17,17,1232A,0,408,E2,2009,0
87155MA,NY,COM,05/27/2017,38,T,1.0,1,1,1021A,0,408,h1,2016,0
HJN6543,NY,PAS,10/04/2016,71,T,107.0,107,107,0122P,0,408,j6,1989,0
77026MG,NY,COM,05/31/2017,14,T,24.0,24,24,0721A,0,408,c,2016,0
HFB9919,NY,PAS,05/26/2017,75,T,114.0,114,114,0940A,0,408,j5,2013,0
76822MH,NY,COM,05/19/2017,10,T,14.0,14,14,1223P,0,408,b,2012,0
65572JU,NY,COM,06/09/2017,69,T,19.0,19,19,1028A,0,408,h1,2009,0
GUP8589,NY,PAS,12/07/2016,21,T,61.0,61,61,0950A,0,408,d1,2008,0
GTV5924,NY,PAS,11/19/2016,38,T,13.0,13,13,0817A,0,408,h1,2014,0
GSC6098,NY,PAS,12/27/2016,50,T,102.0,102,102,0751A,0,408,e5,2009,0
Y56DLT,NJ,PAS,01/20/2017,21,T,113.0,113,113,0148A,0,408,d1,0,0
50741JZ,NY,COM,04/13/2017,38,T,115.0,115,115,1206P,0,408,h1,2008,0
95139JC,NY,COM,01/05/2017,48,T,13.0,13,13,0141P,0,408,e9,1993,0
V97GVE,NJ,PAS,02/18/2017,21,S,60.0,60,0,0822A,0,408,D1,0,0
VVP9002,VA,PAS,06/14/2017,21,T,72.0,72,72,0820A,0,408,d1,0,0
HFF1432,NY,PAS,09/23/2016,71,T,102.0,102,102,0849A,0,408,j6,2014,0
EW866X,NJ,PAS,01/29/2017,68,T,84.0,84,84,1043A,0,408,a1,0,0
